src_node        end_node        start_time              end_time                duration
sat_a           sat_c           00:00:11:73             00:00:53:68             41.95
gs              sat_c           00:00:12:03             00:01:20:03             68.00
sat_c           sat_b           00:00:26:86             00:01:22:13             55.27
sat_c           gs              00:00:30:77             00:01:32:14             61.37
sat_b           sat_c           00:00:41:06             00:01:30:52             49.46
gs              sat_b           00:00:49:95             00:01:21:75             31.80
sat_b           sat_a           00:00:50:53             00:01:54:24             63.71
sat_a           gs              00:00:54:60             00:01:51:78             57.18
gs              sat_a           00:00:57:86             00:01:29:32             31.46
sat_c           sat_a           00:01:11:58             00:01:54:45             42.87
sat_a           sat_b           00:01:24:23             00:02:02:45             38.22
sat_b           gs              00:01:28:60             00:02:26:63             58.03
sat_a           sat_b           00:02:09:06             00:02:53:73             44.67
sat_b           sat_a           00:02:18:60             00:03:20:83             62.23
sat_c           sat_b           00:02:23:81             00:03:26:01             62.20
sat_b           gs              00:02:28:37             00:03:09:69             41.32
sat_a           gs              00:02:30:28             00:03:06:45             36.17
gs              sat_c           00:02:42:29             00:03:23:61             41.32
gs              sat_a           00:02:43:06             00:03:23:23             40.17
sat_c           sat_a           00:03:03:14             00:04:01:61             58.47
sat_a           sat_c           00:03:05:24             00:03:55:78             50.54
sat_b           sat_c           00:03:05:96             00:03:52:38             46.42
sat_c           gs              00:03:14:07             00:03:58:44             44.37
gs              sat_b           00:03:16:20             00:04:21:76             65.56
sat_b           sat_c           00:04:04:84             00:05:12:94             68.10
sat_a           sat_b           00:04:18:07             00:04:58:15             40.08
sat_b           sat_a           00:04:18:62             00:05:06:99             48.37
gs              sat_c           00:04:31:81             00:05:31:55             59.74
sat_b           gs              00:04:33:06             00:05:08:72             35.66
sat_c           sat_b           00:04:34:21             00:05:40:40             66.19
sat_a           gs              00:04:34:82             00:05:04:94             30.12
sat_c           gs              00:04:41:23             00:05:49:11             67.88
gs              sat_a           00:04:49:75             00:05:57:27             67.52
gs              sat_b           00:04:50:35             00:05:22:22             31.87
sat_a           sat_c           00:04:57:09             00:05:38:16             41.07
sat_c           sat_a           00:05:21:15             00:06:26:25             65.10
sat_b           sat_a           00:06:02:99             00:07:11:83             68.84
sat_c           gs              00:06:05:21             00:06:36:87             31.66
gs              sat_c           00:06:19:37             00:07:16:58             57.21
gs              sat_b           00:06:23:70             00:07:06:40             42.70
sat_c           sat_a           00:06:29:43             00:07:02:72             33.29
sat_b           sat_c           00:06:29:81             00:07:14:22             44.41
gs              sat_a           00:06:51:00             00:07:37:65             46.65
sat_c           sat_b           00:07:05:93             00:08:09:30             63.37
sat_a           sat_b           00:07:08:21             00:08:05:89             57.68
sat_b           gs              00:07:19:67             00:07:59:90             40.23
sat_a           sat_c           00:07:21:45             00:07:58:96             37.51
sat_a           gs              00:07:25:54             00:08:23:64             58.10
sat_c           gs              00:08:07:98             00:08:52:82             44.84
sat_a           sat_c           00:08:08:88             00:09:15:10             66.22
gs              sat_b           00:08:20:31             00:09:13:71             53.40
gs              sat_c           00:08:28:04             00:09:04:65             36.61
sat_c           sat_b           00:08:28:21             00:09:25:98             57.77
sat_a           gs              00:08:29:38             00:09:22:71             53.33
sat_a           sat_b           00:08:29:82             00:09:34:08             64.26
sat_b           sat_a           00:08:40:19             00:09:13:11             32.92
sat_c           sat_a           00:08:50:06             00:09:26:91             36.85
sat_b           gs              00:09:01:10             00:09:40:09             38.99
sat_b           sat_c           00:09:08:71             00:10:03:33             54.62
gs              sat_a           00:09:16:48             00:09:59:92             43.44
sat_a           sat_c           00:10:00:54             00:11:08:16             67.62
sat_a           sat_b           00:10:03:81             00:11:02:18             58.37
gs              sat_b           00:10:06:27             00:10:54:49             48.22
sat_a           gs              00:10:16:55             00:10:52:14             35.59
sat_b           gs              00:10:24:92             00:11:21:35             56.43
sat_b           sat_c           00:10:37:95             00:11:43:82             65.87
sat_c           gs              00:10:41:15             00:11:16:50             35.35
sat_b           sat_a           00:10:56:26             00:12:04:36             68.10
gs              sat_c           00:10:56:60             00:11:27:50             30.90
sat_c           sat_a           00:11:04:04             00:12:02:53             58.49
sat_c           sat_b           00:11:19:21             00:11:52:11             32.90
gs              sat_a           00:11:25:71             00:12:13:09             47.38
sat_a           sat_c           00:12:04:52             00:13:13:85             69.33
sat_b           gs              00:12:09:32             00:12:46:25             36.93
sat_a           sat_b           00:12:11:13             00:13:04:82             53.69
gs              sat_a           00:12:11:39             00:13:07:43             56.04
gs              sat_c           00:12:22:80             00:13:00:97             38.17
sat_c           gs              00:12:28:32             00:13:24:83             56.51
gs              sat_b           00:12:40:82             00:13:25:81             44.99
sat_b           sat_c           00:12:45:25             00:13:17:19             31.94
sat_b           sat_a           00:12:48:31             00:13:20:04             31.73
sat_c           sat_b           00:12:53:96             00:14:01:97             68.01
sat_a           gs              00:13:08:90             00:13:50:03             41.13
sat_c           sat_a           00:13:24:02             00:14:01:78             37.76
gs              sat_c           00:14:01:67             00:15:00:95             59.28
sat_b           gs              00:14:12:13             00:15:09:47             57.34
sat_c           gs              00:14:18:54             00:15:09:61             51.07
sat_a           gs              00:14:30:22             00:15:40:12             69.90
sat_b           sat_c           00:14:39:52             00:15:32:08             52.56
gs              sat_a           00:14:50:95             00:15:32:09             41.14
sat_b           sat_a           00:14:58:45             00:15:58:46             60.01
sat_a           sat_b           00:15:01:54             00:15:39:97             38.43
sat_c           sat_a           00:15:02:54             00:15:48:05             45.51
sat_c           sat_b           00:15:03:07             00:15:53:73             50.66
sat_a           sat_c           00:15:17:03             00:16:12:77             55.74
gs              sat_b           00:15:17:16             00:16:15:69             58.53
sat_b           sat_a           00:16:01:92             00:17:08:28             66.36
sat_a           sat_b           00:16:07:44             00:17:04:29             56.85
gs              sat_a           00:16:17:58             00:16:56:29             38.71
sat_a           gs              00:16:27:14             00:17:23:88             56.74
sat_c           sat_b           00:16:30:64             00:17:24:55             53.91
gs              sat_c           00:16:34:02             00:17:22:36             48.34
sat_c           sat_a           00:16:45:88             00:17:22:70             36.82
sat_b           sat_c           00:17:01:61             00:17:58:76             57.15
sat_c           gs              00:17:06:77             00:18:15:06             68.29
sat_b           gs              00:17:14:11             00:18:01:18             47.07
sat_a           sat_c           00:17:14:75             00:18:07:84             53.09
gs              sat_b           00:17:20:40             00:18:26:17             65.77
sat_c           sat_b           00:18:06:45             00:18:50:41             43.96
sat_a           gs              00:18:11:79             00:19:02:07             50.28
sat_b           sat_a           00:18:13:27             00:18:53:23             39.96
sat_a           sat_c           00:18:24:61             00:18:54:97             30.36
gs              sat_b           00:18:25:56             00:19:03:63             38.07
sat_a           sat_b           00:19:03:23             00:19:53:38             50.15
sat_c           gs              00:19:03:90             00:19:58:94             55.04
sat_c           sat_a           00:19:06:07             00:19:53:92             47.85
gs              sat_c           00:19:09:66             00:19:45:38             35.72
gs              sat_a           00:19:14:72             00:19:56:28             41.56
sat_b           gs              00:19:17:63             00:20:20:93             63.30
sat_b           sat_c           00:19:22:85             00:20:30:44             67.59
sat_c           sat_b           00:20:02:49             00:21:11:65             69.16
sat_c           sat_a           00:20:14:55             00:20:48:73             34.18
gs              sat_a           00:20:15:56             00:20:47:06             31.50
sat_b           sat_a           00:20:17:29             00:21:04:22             46.93
sat_a           gs              00:20:24:63             00:21:26:43             61.80
sat_a           sat_c           00:20:39:88             00:21:20:13             40.25
sat_c           gs              00:20:42:55             00:21:52:18             69.63
sat_a           sat_b           00:20:46:07             00:21:29:63             43.56
gs              sat_c           00:20:50:77             00:21:48:50             57.73
sat_b           gs              00:21:06:84             00:21:38:75             31.91
gs              sat_b           00:21:09:01             00:21:43:79             34.78
sat_b           sat_c           00:21:26:61             00:22:29:14             62.53
gs              sat_c           00:22:10:28             00:23:16:67             66.39
sat_b           gs              00:22:20:07             00:23:11:20             51.13
gs              sat_a           00:22:27:54             00:23:35:56             68.02
sat_b           sat_a           00:22:28:36             00:23:18:16             49.80
gs              sat_b           00:22:43:95             00:23:17:68             33.73
sat_b           sat_c           00:22:46:77             00:23:37:88             51.11
sat_a           gs              00:22:52:74             00:24:01:05             68.31
sat_a           sat_b           00:23:01:58             00:24:05:15             63.57
sat_c           gs              00:23:01:94             00:23:37:72             35.78
sat_a           sat_c           00:23:12:38             00:23:57:21             44.83
sat_c           sat_b           00:23:16:97             00:23:47:28             30.31
sat_c           sat_a           00:23:25:21             00:24:28:92             63.71
sat_c           gs              00:24:07:36             00:25:13:21             65.85
sat_a           gs              00:24:23:48             00:25:15:65             52.17
sat_b           sat_a           00:24:24:35             00:25:33:15             68.80
sat_a           sat_b           00:24:37:61             00:25:32:17             54.56
sat_c           sat_b           00:24:40:15             00:25:38:59             58.44
sat_a           sat_c           00:24:43:82             00:25:48:34             64.52
gs              sat_c           00:24:52:53             00:25:29:32             36.79
sat_b           gs              00:24:53:96             00:25:27:31             33.35
gs              sat_b           00:25:00:01             00:26:00:69             60.68
sat_c           sat_a           00:25:07:07             00:25:53:50             46.43
sat_b           sat_c           00:25:18:01             00:26:17:52             59.51
